date,province,positive,dead,cured
2020-03-16,hubei_non_wuhan,17795,630,16710
2020-03-16,hunan,1018,4,1014
2020-03-16,jiangxi,935,1,934
2020-03-16,fujian,296,1,295
2020-03-16,anhui,990,6,984
2020-03-16,zhejiang,1231,1,1216
2020-03-16,jiangsu,631,0,631
2020-03-16,shanghai,355,3,326
2020-03-16,heilongjiang,482,13,455
2020-03-16,jilin,93,1,92
2020-03-16,liaoning,125,1,115
2020-03-16,neimenggu,75,1,73
2020-03-16,shanxi,133,0,133
2020-03-16,hebei,318,6,310
2020-03-16,tianjin,136,3,133
2020-03-16,henan,1273,22,1250
2020-03-16,wuhan,50003,2469,38424
2020-03-16,shandong,760,7,746
2020-03-16,macau,11,0,10
2020-03-16,xizang,1,0,1
2020-03-16,beijing,452,8,360
2020-03-16,guangxi,252,2,249
2020-03-16,hainan,168,6,160
2020-03-16,chongqing,576,6,570
2020-03-16,sichuan,539,3,516
2020-03-16,yunnan,175,2,172
2020-03-16,guangdong,1361,8,1306
2020-03-16,guizhou,146,2,144
2020-03-16,gansu,133,2,91
2020-03-16,qinghai,18,0,18
2020-03-16,ningxia,75,0,75
2020-03-16,xinjiang,76,3,73
2020-03-16,taiwan,67,1,20
2020-03-16,hongkong ,155,4,84
2020-03-16,shanxi,245,2,233
2020-03-15,beijing,442,8,353
2020-03-15,hainan,168,6,160
2020-03-15,taiwan,53,1,20
2020-03-15,xinjiang,76,3,73
2020-03-15,ningxia,75,0,73
2020-03-15,qinghai,18,0,18
2020-03-15,gansu,133,2,91
2020-03-15,macau,10,0,10
2020-03-15,hongkong ,145,4,81
2020-03-15,yunnan,174,2,172
2020-03-15,guizhou,146,2,143
2020-03-15,sichuan,539,3,515
2020-03-15,guangxi,252,2,245
2020-03-15,chongqing,576,6,570
2020-03-15,tianjin,136,3,133
2020-03-15,guangdong,1360,8,1304
2020-03-15,shanghai,353,3,324
2020-03-15,hunan,1018,4,1014
2020-03-15,shandong,760,7,741
2020-03-15,jiangxi,935,1,934
2020-03-15,fujian,296,1,295
2020-03-15,anhui,990,6,984
2020-03-15,zhejiang,1231,1,1211
2020-03-15,jiangsu,631,0,631
2020-03-15,heilongjiang,482,13,454
2020-03-15,jilin,93,1,92
2020-03-15,liaoning,125,1,114
2020-03-15,neimenggu,75,1,71
2020-03-15,shanxi,133,0,133
2020-03-15,hebei,318,6,310
2020-03-15,xizang,1,0,1
2020-03-15,shanxi,245,2,232
2020-03-15,wuhan,49999,2456,37643
2020-03-15,henan,1273,22,1250
2020-03-15,hubei_non_wuhan,17795,629,16646
2020-03-14,tianjin,136,3,132
2020-03-14,yunnan,174,2,172
2020-03-14,shandong,760,7,741
2020-03-14,hunan,1018,4,1014
2020-03-14,xizang,1,0,1
2020-03-14,hebei,318,6,310
2020-03-14,hainan,168,6,160
2020-03-14,chongqing,576,6,566
2020-03-14,guizhou,146,2,143
2020-03-14,guangdong,1356,8,1299
2020-03-14,fujian,296,1,295
2020-03-14,gansu,132,2,90
2020-03-14,qinghai,18,0,18
2020-03-14,ningxia,75,0,73
2020-03-14,xinjiang,76,3,73
2020-03-14,taiwan,53,1,20
2020-03-14,wuhan,49995,2446,36465
2020-03-14,jiangxi,935,1,934
2020-03-14,sichuan,539,3,512
2020-03-14,anhui,990,6,984
2020-03-14,shanxi,133,0,133
2020-03-14,zhejiang,1227,1,1211
2020-03-14,hubei_non_wuhan,17795,629,16495
2020-03-14,shanxi,245,2,232
2020-03-14,macau,10,0,10
2020-03-14,guangxi,252,2,243
2020-03-14,hongkong ,140,4,78
2020-03-14,beijing,437,8,349
2020-03-14,henan,1273,22,1250
2020-03-14,neimenggu,75,1,71
2020-03-14,liaoning,125,1,113
2020-03-14,jilin,93,1,91
2020-03-14,heilongjiang,482,13,448
2020-03-14,shanghai,352,3,324
2020-03-14,jiangsu,631,0,630
2020-03-13,fujian,296,1,295
2020-03-13,neimenggu,75,1,72
2020-03-13,anhui,990,6,984
2020-03-13,zhejiang,1215,1,1209
2020-03-13,jiangsu,631,0,631
2020-03-13,shanghai,346,3,324
2020-03-13,heilongjiang,482,13,446
2020-03-13,jilin,93,1,91
2020-03-13,liaoning,125,1,112
2020-03-13,macau,10,0,10
2020-03-13,hongkong ,134,4,75
2020-03-13,taiwan,49,1,20
2020-03-13,henan,1273,22,1249
2020-03-13,hainan,168,6,160
2020-03-13,shanxi,245,2,232
2020-03-13,guangdong,1356,8,1297
2020-03-13,xizang,1,0,1
2020-03-13,hubei_non_wuhan,17795,626,16367
2020-03-13,shandong,760,7,739
2020-03-13,jiangxi,935,1,934
2020-03-13,shanxi,133,0,133
2020-03-13,hunan,1018,4,1005
2020-03-13,beijing,436,8,342
2020-03-13,wuhan,49991,2436,35197
2020-03-13,chongqing,576,6,564
2020-03-13,guangxi,252,2,243
2020-03-13,xinjiang,76,3,73
2020-03-13,yunnan,174,2,170
2020-03-13,sichuan,539,3,504
2020-03-13,gansu,127,2,89
2020-03-13,qinghai,18,0,18
2020-03-13,ningxia,75,0,72
2020-03-13,guizhou,146,2,140
2020-03-13,tianjin,136,3,132
2020-03-13,hebei,318,6,310
2020-03-12,hebei,318,6,308
2020-03-12,zhejiang,1216,1,1209
2020-03-12,anhui,990,6,984
2020-03-12,fujian,296,1,295
2020-03-12,jiangxi,935,1,934
2020-03-12,shandong,760,6,734
2020-03-12,hunan,1018,4,999
2020-03-12,xizang,1,0,1
2020-03-12,gansu,127,2,88
2020-03-12,shanxi,133,0,132
2020-03-12,neimenggu,75,1,71
2020-03-12,xinjiang,76,3,73
2020-03-12,yunnan,174,2,170
2020-03-12,guangdong,1356,8,1289
2020-03-12,shanghai,344,3,321
2020-03-12,chongqing,576,6,554
2020-03-12,ningxia,75,0,72
2020-03-12,jiangsu,631,0,629
2020-03-12,heilongjiang,482,13,441
2020-03-12,wuhan,49986,2430,34094
2020-03-12,shanxi,245,2,232
2020-03-12,macau,10,0,10
2020-03-12,taiwan,49,1,17
2020-03-12,jilin,93,1,92
2020-03-12,hubei_non_wuhan,17795,626,16222
2020-03-12,henan,1273,22,1249
2020-03-12,tianjin,136,3,132
2020-03-12,hongkong ,131,3,67
2020-03-12,guangxi,252,2,244
2020-03-12,hainan,168,6,160
2020-03-12,beijing,435,8,334
2020-03-12,qinghai,18,0,18
2020-03-12,sichuan,539,3,495
2020-03-12,guizhou,146,2,137
2020-03-12,liaoning,125,1,112
2020-03-11,jiangsu,631,0,627
2020-03-11,shandong,760,6,726
2020-03-11,jiangxi,935,1,932
2020-03-11,fujian,296,1,295
2020-03-11,anhui,990,6,984
2020-03-11,henan,1273,22,1249
2020-03-11,zhejiang,1215,1,1207
2020-03-11,shanxi,133,0,131
2020-03-11,shanghai,344,3,320
2020-03-11,heilongjiang,482,13,435
2020-03-11,jilin,93,1,91
2020-03-11,liaoning,125,1,111
2020-03-11,chongqing,576,6,549
2020-03-11,hubei_non_wuhan,17795,623,16017
2020-03-11,hunan,1018,4,995
2020-03-11,sichuan,539,3,485
2020-03-11,neimenggu,75,1,71
2020-03-11,guizhou,146,2,133
2020-03-11,hainan,168,6,159
2020-03-11,wuhan,49978,2423,33117
2020-03-11,taiwan,48,1,17
2020-03-11,guangdong,1356,8,1282
2020-03-11,guangxi,252,2,237
2020-03-11,macau,10,0,10
2020-03-11,shanxi,245,1,232
2020-03-11,ningxia,75,0,72
2020-03-11,hongkong ,126,3,65
2020-03-11,xizang,1,0,1
2020-03-11,xinjiang,76,3,73
2020-03-11,qinghai,18,0,18
2020-03-11,tianjin,136,3,132
2020-03-11,hebei,318,6,307
2020-03-11,yunnan,174,2,170
2020-03-11,beijing,435,8,326
2020-03-11,gansu,127,2,88
2020-03-10,shanxi,133,0,128
2020-03-10,henan,1272,22,1247
2020-03-10,qinghai,18,0,18
2020-03-10,fujian,296,1,295
2020-03-10,liaoning,125,1,111
2020-03-10,jilin,93,1,91
2020-03-10,heilongjiang,481,13,434
2020-03-10,shanghai,344,3,319
2020-03-10,jiangsu,631,0,627
2020-03-10,zhejiang,1215,1,1202
2020-03-10,anhui,990,6,984
2020-03-10,beijing,429,8,321
2020-03-10,taiwan,47,1,15
2020-03-10,hunan,1018,4,990
2020-03-10,shandong,758,6,720
2020-03-10,macau,10,0,10
2020-03-10,guangxi,252,2,235
2020-03-10,shanxi,245,1,227
2020-03-10,hebei,318,6,307
2020-03-10,xizang,1,0,1
2020-03-10,tianjin,136,3,131
2020-03-10,hongkong ,119,3,60
2020-03-10,hainan,168,6,160
2020-03-10,jiangxi,935,1,927
2020-03-10,guizhou,146,2,129
2020-03-10,ningxia,75,0,71
2020-03-10,chongqing,576,6,542
2020-03-10,guangdong,1353,8,1274
2020-03-10,yunnan,174,2,170
2020-03-10,xinjiang,76,3,73
2020-03-10,neimenggu,75,1,70
2020-03-10,gansu,125,2,88
2020-03-10,sichuan,539,3,479
2020-03-10,wuhan,49965,2404,31974
2020-03-10,hubei_non_wuhan,17795,620,15764
2020-03-09,hebei,318,6,307
2020-03-09,jiangxi,935,1,923
2020-03-09,neimenggu,75,1,70
2020-03-09,guangxi,252,2,230
2020-03-09,gansu,124,2,88
2020-03-09,beijing,428,8,315
2020-03-09,xinjiang,76,3,73
2020-03-09,sichuan,539,3,468
2020-03-09,qinghai,18,0,18
2020-03-09,hongkong ,115,3,59
2020-03-09,hunan,1018,4,979
2020-03-09,hainan,168,6,159
2020-03-09,taiwan,45,1,15
2020-03-09,macau,10,0,10
2020-03-09,guangdong,1353,8,1260
2020-03-09,xizang,1,0,1
2020-03-09,wuhan,49948,2389,30985
2020-03-09,henan,1272,22,1248
2020-03-09,yunnan,174,2,170
2020-03-09,shandong,758,6,700
2020-03-09,liaoning,125,1,110
2020-03-09,hubei_non_wuhan,17795,619,15500
2020-03-09,shanxi,245,1,227
2020-03-09,fujian,296,1,295
2020-03-09,shanxi,133,0,127
2020-03-09,ningxia,75,0,71
2020-03-09,guizhou,146,2,123
2020-03-09,chongqing,576,6,534
2020-03-09,tianjin,136,3,130
2020-03-09,jilin,93,1,91
2020-03-09,shanghai,342,3,315
2020-03-09,jiangsu,631,0,621
2020-03-09,zhejiang,1215,1,1189
2020-03-09,heilongjiang,481,13,431
2020-03-09,anhui,990,6,984
2020-03-08,henan,1272,22,1248
2020-03-08,hunan,1018,4,968
2020-03-08,hainan,168,6,159
2020-03-08,neimenggu,75,1,70
2020-03-08,xinjiang,76,3,73
2020-03-08,yunnan,174,2,170
2020-03-08,guangdong,1352,7,1253
2020-03-08,chongqing,576,6,526
2020-03-08,gansu,124,2,87
2020-03-08,ningxia,75,0,71
2020-03-08,guizhou,146,2,117
2020-03-08,jiangxi,935,1,919
2020-03-08,fujian,296,1,295
2020-03-08,tianjin,136,3,129
2020-03-08,shandong,758,6,642
2020-03-08,shanxi,133,0,126
2020-03-08,anhui,990,6,984
2020-03-08,zhejiang,1215,1,1173
2020-03-08,jiangsu,631,0,612
2020-03-08,shanghai,342,3,314
2020-03-08,heilongjiang,481,13,412
2020-03-08,jilin,93,1,90
2020-03-08,liaoning,125,1,109
2020-03-08,wuhan,49912,2370,29908
2020-03-08,taiwan,45,1,15
2020-03-08,qinghai,18,0,18
2020-03-08,sichuan,539,3,464
2020-03-08,macau,10,0,10
2020-03-08,xizang,1,0,1
2020-03-08,shanxi,245,1,227
2020-03-08,hubei_non_wuhan,17795,616,15248
2020-03-08,beijing,428,8,308
2020-03-08,hebei,318,6,307
2020-03-08,hongkong ,114,3,58
2020-03-08,guangxi,252,2,223
2020-03-07,shanxi,245,1,226
2020-03-07,shanghai,342,3,313
2020-03-07,tianjin,136,3,128
2020-03-07,fujian,296,1,295
2020-03-07,wuhan,49871,2349,28563
2020-03-07,anhui,990,6,979
2020-03-07,zhejiang,1215,1,1166
2020-03-07,jiangsu,631,0,606
2020-03-07,shandong,758,6,628
2020-03-07,heilongjiang,481,13,403
2020-03-07,henan,1272,22,1244
2020-03-07,liaoning,125,1,107
2020-03-07,chongqing,576,6,520
2020-03-07,guizhou,146,2,117
2020-03-07,ningxia,75,0,71
2020-03-07,shanxi,133,0,126
2020-03-07,jilin,93,1,90
2020-03-07,hubei_non_wuhan,17795,610,14964
2020-03-07,neimenggu,75,1,67
2020-03-07,hainan,168,6,158
2020-03-07,gansu,120,2,87
2020-03-07,hunan,1018,4,960
2020-03-07,taiwan,45,1,13
2020-03-07,xizang,1,0,1
2020-03-07,macau,10,0,10
2020-03-07,hebei,318,6,307
2020-03-07,guangdong,1352,7,1240
2020-03-07,guangxi,252,2,219
2020-03-07,hongkong ,108,2,51
2020-03-07,qinghai,18,0,18
2020-03-07,sichuan,539,3,454
2020-03-07,xinjiang,76,3,72
2020-03-07,yunnan,174,2,170
2020-03-07,jiangxi,935,1,916
2020-03-07,beijing,426,8,303
2020-03-06,jiangsu,631,0,594
2020-03-06,yunnan,174,2,170
2020-03-06,liaoning,125,1,106
2020-03-06,neimenggu,75,1,65
2020-03-06,shanxi,133,0,126
2020-03-06,hunan,1018,4,955
2020-03-06,hebei,318,6,305
2020-03-06,shanxi,245,1,226
2020-03-06,heilongjiang,481,13,396
2020-03-06,guangxi,252,2,217
2020-03-06,hongkong ,107,2,46
2020-03-06,tianjin,136,3,128
2020-03-06,fujian,296,1,284
2020-03-06,xinjiang,76,3,71
2020-03-06,guangdong,1352,7,1218
2020-03-06,shanghai,342,3,306
2020-03-06,taiwan,45,1,12
2020-03-06,hainan,168,6,158
2020-03-06,anhui,990,6,975
2020-03-06,guizhou,146,2,114
2020-03-06,ningxia,75,0,71
2020-03-06,gansu,119,2,87
2020-03-06,sichuan,539,3,435
2020-03-06,xizang,1,0,1
2020-03-06,zhejiang,1215,1,1159
2020-03-06,shandong,758,6,618
2020-03-06,qinghai,18,0,18
2020-03-06,jiangxi,935,1,908
2020-03-06,beijing,422,8,299
2020-03-06,macau,10,0,10
2020-03-06,henan,1272,22,1244
2020-03-06,chongqing,576,6,513
2020-03-06,hubei_non_wuhan,17795,603,14613
2020-03-06,jilin,93,1,90
2020-03-06,wuhan,49797,2328,27420
2020-03-05,macau,10,0,9
2020-03-05,tianjin,136,3,128
2020-03-05,xizang,1,0,1
2020-03-05,ningxia,75,0,69
2020-03-05,jiangsu,631,0,583
2020-03-05,anhui,990,6,963
2020-03-05,neimenggu,75,1,64
2020-03-05,liaoning,125,1,106
2020-03-05,heilongjiang,481,13,379
2020-03-05,shanghai,339,3,303
2020-03-05,hunan,1018,4,937
2020-03-05,fujian,296,1,277
2020-03-05,hebei,318,6,304
2020-03-05,shandong,758,6,578
2020-03-05,hubei_non_wuhan,17795,597,14174
2020-03-05,wuhan,49671,2305,26404
2020-03-05,guangdong,1351,7,1184
2020-03-05,guizhou,146,2,114
2020-03-05,chongqing,576,6,502
2020-03-05,zhejiang,1215,1,1136
2020-03-05,jilin,93,1,87
2020-03-05,hongkong ,104,2,46
2020-03-05,yunnan,174,2,169
2020-03-05,jiangxi,935,1,901
2020-03-05,beijing,418,8,297
2020-03-05,guangxi,252,2,215
2020-03-05,taiwan,44,1,12
2020-03-05,shanxi,133,0,126
2020-03-05,sichuan,539,3,424
2020-03-05,henan,1272,22,1245
2020-03-05,gansu,102,2,87
2020-03-05,qinghai,18,0,18
2020-03-05,hainan,168,6,158
2020-03-05,shanxi,245,1,224
2020-03-05,xinjiang,76,3,70
2020-03-04,hebei,318,6,301
2020-03-04,hongkong ,104,2,43
2020-03-04,beijing,418,8,297
2020-03-04,xizang,1,0,1
2020-03-04,ningxia,75,0,69
2020-03-04,shanxi,133,0,124
2020-03-04,tianjin,136,3,128
2020-03-04,xinjiang,76,3,69
2020-03-04,fujian,296,1,270
2020-03-04,yunnan,174,2,169
2020-03-04,guangdong,1350,7,1159
2020-03-04,shanghai,338,3,298
2020-03-04,zhejiang,1215,1,1130
2020-03-04,taiwan,42,1,12
2020-03-04,gansu,91,2,87
2020-03-04,wuhan,49540,2282,24892
2020-03-04,sichuan,539,3,418
2020-03-04,macau,10,0,9
2020-03-04,jilin,93,1,86
2020-03-04,shandong,758,6,576
2020-03-04,guizhou,146,2,114
2020-03-04,henan,1272,22,1239
2020-03-04,heilongjiang,481,13,379
2020-03-04,neimenggu,75,1,63
2020-03-04,liaoning,125,1,106
2020-03-04,jiangsu,631,0,580
2020-03-04,hunan,1018,4,933
2020-03-04,anhui,990,6,956
2020-03-04,qinghai,18,0,18
2020-03-04,guangxi,252,2,213
2020-03-04,hainan,168,5,158
2020-03-04,chongqing,576,6,502
2020-03-04,hubei_non_wuhan,17926,620,15587
2020-03-04,shanxi,245,1,222
2020-03-04,jiangxi,935,1,901
2020-03-03,shandong,758,6,511
2020-03-03,hebei,318,6,300
2020-03-03,neimenggu,75,1,59
2020-03-03,yunnan,174,2,169
2020-03-03,hunan,1018,4,913
2020-03-03,wuhan,49426,2252,23063
2020-03-03,macau,10,0,9
2020-03-03,heilongjiang,480,13,372
2020-03-03,taiwan,42,1,12
2020-03-03,jilin,93,1,84
2020-03-03,guangxi,252,2,210
2020-03-03,hongkong ,100,2,37
2020-03-03,chongqing,576,6,490
2020-03-03,shanghai,338,3,294
2020-03-03,gansu,91,2,86
2020-03-03,qinghai,18,0,18
2020-03-03,jiangsu,631,0,565
2020-03-03,liaoning,125,1,106
2020-03-03,jiangxi,935,1,884
2020-03-03,hubei_non_wuhan,17906,619,15493
2020-03-03,tianjin,136,3,124
2020-03-03,xinjiang,76,3,68
2020-03-03,guizhou,146,2,114
2020-03-03,anhui,990,6,941
2020-03-03,sichuan,538,3,400
2020-03-03,guangdong,1350,7,1129
2020-03-03,zhejiang,1213,1,1107
2020-03-03,xizang,1,0,1
2020-03-03,shanxi,245,1,218
2020-03-03,shanxi,133,0,124
2020-03-03,ningxia,75,0,69
2020-03-03,hainan,168,5,155
2020-03-03,henan,1272,22,1234
2020-03-03,fujian,296,1,261
2020-03-03,beijing,417,8,294
2020-03-02,henan,1272,22,1223
2020-03-02,neimenggu,75,0,54
2020-03-02,fujian,296,1,255
2020-03-02,hunan,1018,4,892
2020-03-02,xizang,1,0,1
2020-03-02,hubei_non_wuhan,17902,607,14818
2020-03-02,tianjin,136,3,118
2020-03-02,sichuan,538,3,389
2020-03-02,shanxi,245,1,216
2020-03-02,xinjiang,76,3,67
2020-03-02,shanxi,133,0,119
2020-03-02,guizhou,146,2,114
2020-03-02,jiangxi,935,1,870
2020-03-02,yunnan,174,2,168
2020-03-02,shandong,758,6,497
2020-03-02,jiangsu,631,0,555
2020-03-02,zhejiang,1213,1,1086
2020-03-02,ningxia,74,0,69
2020-03-02,hebei,318,6,297
2020-03-02,macau,10,0,8
2020-03-02,wuhan,49315,2227,21349
2020-03-02,heilongjiang,480,13,358
2020-03-02,shanghai,338,3,292
2020-03-02,anhui,990,6,917
2020-03-02,gansu,91,2,85
2020-03-02,jilin,93,1,83
2020-03-02,hongkong ,100,2,36
2020-03-02,beijing,414,8,288
2020-03-02,liaoning,125,1,103
2020-03-02,guangxi,252,2,202
2020-03-02,chongqing,576,6,469
2020-03-02,guangdong,1350,7,1081
2020-03-02,hainan,168,5,151
2020-03-02,qinghai,18,0,18
2020-03-02,taiwan,41,1,12
2020-03-01,jiangsu,631,0,536
2020-03-01,shanghai,337,3,290
2020-03-01,jiangxi,935,1,850
2020-03-01,jilin,93,1,78
2020-03-01,macau,10,0,8
2020-03-01,henan,1272,22,1205
2020-03-01,hebei,318,6,294
2020-03-01,shanxi,133,0,116
2020-03-01,xinjiang,76,3,64
2020-03-01,sichuan,538,3,378
2020-03-01,hubei_non_wuhan,17981,608,14223
2020-03-01,wuhan,49122,2195,19534
2020-03-01,ningxia,74,0,69
2020-03-01,heilongjiang,480,13,350
2020-03-01,yunnan,174,2,163
2020-03-01,xizang,1,0,1
2020-03-01,guizhou,146,2,114
2020-03-01,guangdong,1350,7,1034
2020-03-01,fujian,296,1,247
2020-03-01,gansu,91,2,84
2020-03-01,hongkong ,98,2,36
2020-03-01,guangxi,252,2,188
2020-03-01,zhejiang,1206,1,1050
2020-03-01,hunan,1018,4,876
2020-03-01,anhui,990,6,888
2020-03-01,taiwan,40,1,12
2020-03-01,shanxi,245,1,209
2020-03-01,hainan,168,5,151
2020-03-01,tianjin,136,3,111
2020-03-01,shandong,758,6,455
2020-03-01,qinghai,18,0,18
2020-03-01,beijing,414,8,282
2020-03-01,liaoning,122,1,103
2020-03-01,chongqing,576,6,450
2020-03-01,neimenggu,75,0,51
2020-02-29,jiangxi,935,1,831
2020-02-29,taiwan,39,1,9
2020-02-29,henan,1272,22,1185
2020-02-29,hongkong ,95,2,33
2020-02-29,qinghai,18,0,18
2020-02-29,hebei,318,6,283
2020-02-29,yunnan,174,2,157
2020-02-29,heilongjiang,480,13,330
2020-02-29,anhui,990,6,868
2020-02-29,shanghai,337,3,287
2020-02-29,gansu,91,2,82
2020-02-29,neimenggu,75,0,51
2020-02-29,sichuan,538,3,363
2020-02-29,xizang,1,0,1
2020-02-29,jiangsu,631,0,529
2020-02-29,zhejiang,1205,1,1027
2020-02-29,hunan,1018,4,853
2020-02-29,wuhan,48557,2169,17656
2020-02-29,shanxi,245,1,207
2020-02-29,shanxi,133,0,114
2020-02-29,jilin,93,1,75
2020-02-29,guangxi,252,2,179
2020-02-29,guizhou,146,2,112
2020-02-29,tianjin,136,3,109
2020-02-29,chongqing,576,6,438
2020-02-29,macau,10,0,8
2020-02-29,hainan,168,5,148
2020-02-29,beijing,413,8,276
2020-02-29,xinjiang,76,3,62
2020-02-29,liaoning,122,1,101
2020-02-29,fujian,296,1,243
2020-02-29,hubei_non_wuhan,18350,592,13531
2020-02-29,guangdong,1349,7,1009
2020-02-29,ningxia,73,0,69
2020-02-29,shandong,756,6,431
2020-02-28,jiangsu,631,0,519
2020-02-28,wuhan,48137,2132,15853
2020-02-28,qinghai,18,0,18
2020-02-28,anhui,990,6,842
2020-02-28,sichuan,538,3,350
2020-02-28,tianjin,136,3,105
2020-02-28,macau,10,0,8
2020-02-28,guizhou,146,2,112
2020-02-28,chongqing,576,6,422
2020-02-28,shanxi,133,0,112
2020-02-28,hongkong ,94,2,30
2020-02-28,beijing,411,8,271
2020-02-28,shanghai,337,3,279
2020-02-28,guangdong,1349,7,972
2020-02-28,jiangxi,935,1,811
2020-02-28,xinjiang,76,3,52
2020-02-28,fujian,296,1,241
2020-02-28,taiwan,34,1,9
2020-02-28,hunan,1018,4,841
2020-02-28,henan,1272,21,1161
2020-02-28,xizang,1,0,1
2020-02-28,guangxi,252,2,172
2020-02-28,heilongjiang,480,13,295
2020-02-28,yunnan,174,2,156
2020-02-28,hainan,168,5,136
2020-02-28,ningxia,73,0,68
2020-02-28,shanxi,245,1,200
2020-02-28,hebei,318,6,277
2020-02-28,liaoning,121,1,95
2020-02-28,shandong,756,6,411
2020-02-28,gansu,91,2,82
2020-02-28,neimenggu,75,0,46
2020-02-28,jilin,93,1,73
2020-02-28,zhejiang,1205,1,987
2020-02-28,hubei_non_wuhan,18200,595,13042
2020-02-27,sichuan,538,3,326
2020-02-27,gansu,91,2,82
2020-02-27,shandong,756,6,390
2020-02-27,zhejiang,1205,1,943
2020-02-27,macau,10,0,8
2020-02-27,neimenggu,75,0,43
2020-02-27,hongkong ,93,2,26
2020-02-27,shanxi,245,1,197
2020-02-27,xizang,1,0,1
2020-02-27,beijing,410,7,257
2020-02-27,chongqing,576,6,401
2020-02-27,jiangsu,631,0,506
2020-02-27,anhui,990,6,814
2020-02-27,yunnan,174,2,150
2020-02-27,guizhou,146,2,112
2020-02-27,hubei_non_wuhan,18090,578,12929
2020-02-27,tianjin,136,3,102
2020-02-27,ningxia,72,0,68
2020-02-27,hunan,1017,4,820
2020-02-27,wuhan,47824,2104,13474
2020-02-27,guangxi,252,2,166
2020-02-27,qinghai,18,0,18
2020-02-27,fujian,296,1,232
2020-02-27,heilongjiang,480,13,280
2020-02-27,shanxi,133,0,107
2020-02-27,shanghai,337,3,276
2020-02-27,guangdong,1348,7,919
